rs254024,ENSG00000251574
rs17022027,ENSG00000182168
rs933186,ENSG00000133317
rs72837534,ENSG00000272269
rs7638389,ENSG00000241684
rs803522,ENSG00000112297
rs1591726,ENSG00000186094
rs4073582,ENSG00000174871
rs34811474,ENSG00000053900
rs72837534,ENSG00000124795
rs62261725,ENSG00000175161
rs2241193,ENSG00000115461
rs67463976,ENSG00000158321
rs72666872,ENSG00000164010
rs13323436,ENSG00000175161
rs1724557,ENSG00000251567
rs71658797,ENSG00000154027
rs114751725,ENSG00000168356
rs7982447,ENSG00000261517
rs10955960,ENSG00000187955
